bug_id,title,description,severity,priority,component,assigned_to,reporter,created_date,closed_date,status,resolution_time,reopen_count,reported_by
BUG-0001,Authentication crash detected,Authentication module shows crash during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_sarah,01-01-24,,Open,,0,
BUG-0002,Database failed detected,Database module shows failed during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_john,02-01-24,10-01-24,Closed,8.0,0,
BUG-0003,Payment problem detected,Payment module shows problem during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_sarah,03-01-24,09-01-24,Closed,6.0,0,
BUG-0004,API minor detected,API module shows minor during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_john,04-01-24,,Open,,0,
BUG-0005,UI vulnerability detected,UI module shows vulnerability during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,05-01-24,09-01-24,Closed,4.0,1,
BUG-0006,Dashboard error detected,Dashboard module shows error during normal usage causing functional impact.,High,P2,Dashboard,dev_alice,qa_shivani,06-01-24,09-01-24,Closed,3.0,0,
BUG-0007,Reporting issue detected,Reporting module shows issue during normal usage causing functional impact.,Medium,P2,Reporting,dev_bob,qa_mike,07-01-24,,Open,,0,
BUG-0008,Notification cosmetic detected,Notification module shows cosmetic during normal usage causing functional impact.,Low,P4,Notification,dev_charlie,qa_mike,08-01-24,15-01-24,Closed,7.0,0,
BUG-0009,Authentication service down detected,Authentication module shows service down during normal usage causing functional impact.,Critical,P0,Authentication,dev_alice,qa_sarah,09-01-24,11-01-24,Closed,2.0,1,
BUG-0010,Database not working detected,Database module shows not working during normal usage causing functional impact.,High,P2,Database,dev_bob,qa_shivani,10-01-24,,Open,,0,
BUG-0011,Payment slow detected,Payment module shows slow during normal usage causing functional impact.,Medium,P2,Payment,dev_charlie,qa_sarah,11-01-24,18-01-24,Closed,7.0,1,
BUG-0012,API spelling detected,API module shows spelling during normal usage causing functional impact.,Low,P4,API,dev_diana,qa_john,12-01-24,20-01-24,Closed,8.0,0,
BUG-0013,UI security breach detected,UI module shows security breach during normal usage causing functional impact.,Critical,P1,UI,dev_evan,qa_shivani,13-01-24,,Open,,0,
